en-US	de-DE	es-ES	es-MX	fr-CA	fr-FR	fr-CH	fr-BE	it-IT	it-CH	ja-JP	nl-NL	nl-BE	pt-BR	zh-CN	en-CA	en-IN	en-AU	en-EU	en-MY	en-SG	es-AR	es-ROAM	de-CH	de-AT	en-CH	en-NZ	en-PH	en-ZA
Includes all-in-one video bar for huddle and small rooms and a touch controller with PoE connectivity.	Enthält eine All-in-one-Videobar für Huddle-Räume und kleine Räume und einen Touch-Controller mit PoE-Konnektivität.	Incluye barra de vídeo todo en uno para espacios de reunión reducidos y salas pequeñas, y un mando táctil con conectividad PoE.	Incluye una barra de video todo-en-uno para salas pequeñas y espacios de reunión reducidos, y un controlador táctil con conectividad PoE.	Comprend une barre vidéo tout-en-un pour les petites salles et salles de conférence et un contrôleur tactile avec connectivité PoE.	Comprend une barre vidéo tout-en-un pour les petites salles et salles de conférence et un contrôleur tactile avec connectivité PoE.	Comprend une barre vidéo tout-en-un pour les petites salles et salles de conférence et un contrôleur tactile avec connectivité PoE.	Comprend une barre vidéo tout-en-un pour les petites salles et salles de conférence et un contrôleur tactile avec connectivité PoE.	Include barra video integrata per salette e sale di piccole dimensioni e un dispositivo di controllo touch con connettività PoE.	Include barra video integrata per salette e sale di piccole dimensioni e un dispositivo di controllo touch con connettività PoE.	ハドルルームや小会議室向けの一体型ビデオバーと、PoE接続対応のタッチコントローラが含まれています。	Inclusief alles-in-één videobar voor teamruimtes en kleine ruimtes en een touchcontroller met PoE-connectiviteit.	Inclusief alles-in-één videobar voor teamruimtes en kleine ruimtes en een touchcontroller met PoE-connectiviteit.	Inclui uma barra de vídeo all-in-one para salas e espaços pequenos e um controlador por toque com conectividade PoE.	包含适用于微型和小型会议室的一体化视频会议一体机和支持 PoE 连接的触摸控制屏。	Includes all-in-one video bar for huddle and small rooms and a touch controller with PoE connectivity.	Includes all-in-one video bar for huddle and small rooms and a touch controller with PoE connectivity.	Includes all-in-one video bar for huddle and small rooms and a touch controller with PoE connectivity.	Includes all-in-one video bar for huddle and small rooms and a touch controller with PoE connectivity.	Includes all-in-one video bar for huddle and small rooms and a touch controller with PoE connectivity.	Includes all-in-one video bar for huddle and small rooms and a touch controller with PoE connectivity.	Incluye una barra de video todo-en-uno para salas pequeñas y espacios de reunión reducidos, y un controlador táctil con conectividad PoE.	Incluye una barra de video todo-en-uno para salas pequeñas y espacios de reunión reducidos, y un controlador táctil con conectividad PoE.	Enthält eine All-in-one-Videobar für Huddle-Räume und kleine Räume und einen Touch-Controller mit PoE-Konnektivität.	Enthält eine All-in-one-Videobar für Huddle-Räume und kleine Räume und einen Touch-Controller mit PoE-Konnektivität.	Includes all-in-one video bar for huddle and small rooms and a touch controller with PoE connectivity.	Includes all-in-one video bar for huddle and small rooms and a touch controller with PoE connectivity.	Includes all-in-one video bar for huddle and small rooms and a touch controller with PoE connectivity.	Includes all-in-one video bar for huddle and small rooms and a touch controller with PoE connectivity.
Includes all-in-one video bar for medium to large rooms and a touch controller with PoE connectivity.	Enthält eine All-in-one-Videobar für mittelgroße bis große Räume und einen Touch-Controller mit PoE-Konnektivität.	Incluye barra de vídeo todo en uno para salas medianas y grandes, y un mando táctil con conectividad PoE.	Incluye la barra de video todo-en-uno para salas medianas a grandes, y un controlador táctil con conectividad PoE.	Comprend une barre vidéo tout-en-un pour les salles moyennes à grandes et un contrôleur tactile avec connectivité PoE.	Comprend une barre vidéo tout-en-un pour les salles moyennes à grandes et un contrôleur tactile avec connectivité PoE.	Comprend une barre vidéo tout-en-un pour les salles moyennes à grandes et un contrôleur tactile avec connectivité PoE.	Comprend une barre vidéo tout-en-un pour les salles moyennes à grandes et un contrôleur tactile avec connectivité PoE.	Include barra video integrata per sale di medie e grandi dimensioni e un dispositivo di controllo touch con connettività PoE.	Include barra video integrata per sale di medie e grandi dimensioni e un dispositivo di controllo touch con connettività PoE.	中～大会議室向けの一体型ビデオバーと、PoE接続対応のタッチコントローラが含まれています。	Inclusief alles-in-één videobar voor middelgrote tot grote ruimtes en een touchcontroller met PoE-connectiviteit.	Inclusief alles-in-één videobar voor middelgrote tot grote ruimtes en een touchcontroller met PoE-connectiviteit.	Inclui uma barra de vídeo all-in-one para salas médias a grandes e um controlador por toque com conectividade PoE.	包含适用于大中型会议室的一体化视频会议一体机和支持 PoE 连接的触摸控制屏。	Includes all-in-one video bar for medium to large rooms and a touch controller with PoE connectivity.	Includes all-in-one video bar for medium to large rooms and a touch controller with PoE connectivity.	Includes all-in-one video bar for medium to large rooms and a touch controller with PoE connectivity.	Includes all-in-one video bar for medium to large rooms and a touch controller with PoE connectivity.	Includes all-in-one video bar for medium to large rooms and a touch controller with PoE connectivity.	Includes all-in-one video bar for medium to large rooms and a touch controller with PoE connectivity.	Incluye la barra de video todo-en-uno para salas medianas a grandes, y un controlador táctil con conectividad PoE.	Incluye la barra de video todo-en-uno para salas medianas a grandes, y un controlador táctil con conectividad PoE.	Enthält eine All-in-one-Videobar für mittelgroße bis große Räume und einen Touch-Controller mit PoE-Konnektivität.	Enthält eine All-in-one-Videobar für mittelgroße bis große Räume und einen Touch-Controller mit PoE-Konnektivität.	Includes all-in-one video bar for medium to large rooms and a touch controller with PoE connectivity.	Includes all-in-one video bar for medium to large rooms and a touch controller with PoE connectivity.	Includes all-in-one video bar for medium to large rooms and a touch controller with PoE connectivity.	Includes all-in-one video bar for medium to large rooms and a touch controller with PoE connectivity.
Includes all-in-one video bar for larger rooms and a touch controller with PoE connectivity.	Enthält eine All-in-one-Videobar für größere Räume und einen Touch-Controller mit PoE-Konnektivität.	Incluye barra de vídeo todo en uno para salas más grandes y un mando táctil con conectividad PoE.	Incluye la barra de video todo-en-uno para salas más grandes y un controlador táctil con conectividad PoE.	Comprend une barre vidéo tout-en-un pour les grandes salles et un contrôleur tactile avec connectivité PoE.	Comprend une barre vidéo tout-en-un pour les grandes salles et un contrôleur tactile avec connectivité PoE.	Comprend une barre vidéo tout-en-un pour les grandes salles et un contrôleur tactile avec connectivité PoE.	Comprend une barre vidéo tout-en-un pour les grandes salles et un contrôleur tactile avec connectivité PoE.	Include barra video integrata per sale di dimensioni più grandi e un dispositivo di controllo touch con connettività PoE.	Include barra video integrata per sale di dimensioni più grandi e un dispositivo di controllo touch con connettività PoE.	大会議室向けの一体型ビデオバーと、PoE接続対応のタッチコントローラが含まれています。	Inclusief alles-in-één videobar voor grotere ruimtes en een touchcontroller met PoE-connectiviteit.	Inclusief alles-in-één videobar voor grotere ruimtes en een touchcontroller met PoE-connectiviteit.	Inclui uma barra de vídeo all-in-one para salas maiores e um controlador por toque com conectividade PoE.	包含适用于超大型会议室的一体化视频会议一体机和支持 PoE 连接的触摸控制屏。	Includes all-in-one video bar for larger rooms and a touch controller with PoE connectivity.	Includes all-in-one video bar for larger rooms and a touch controller with PoE connectivity.	Includes all-in-one video bar for larger rooms and a touch controller with PoE connectivity.	Includes all-in-one video bar for larger rooms and a touch controller with PoE connectivity.	Includes all-in-one video bar for larger rooms and a touch controller with PoE connectivity.	Includes all-in-one video bar for larger rooms and a touch controller with PoE connectivity.	Incluye la barra de video todo-en-uno para salas más grandes y un controlador táctil con conectividad PoE.	Incluye la barra de video todo-en-uno para salas más grandes y un controlador táctil con conectividad PoE.	Enthält eine All-in-one-Videobar für größere Räume und einen Touch-Controller mit PoE-Konnektivität.	Enthält eine All-in-one-Videobar für größere Räume und einen Touch-Controller mit PoE-Konnektivität.	Includes all-in-one video bar for larger rooms and a touch controller with PoE connectivity.	Includes all-in-one video bar for larger rooms and a touch controller with PoE connectivity.	Includes all-in-one video bar for larger rooms and a touch controller with PoE connectivity.	Includes all-in-one video bar for larger rooms and a touch controller with PoE connectivity.
																												
																												
																												
																												
																												
																												
Tethered room controller with Cat5e kit	Kabelgebundener Raum-Controller mit Cat5e-Kit	Controlador de sala fijado con Cat5e kit	Controlador de sala conectado con el kit Cat5e	Contrôleur de salle câblé avec kit Cat5e	Contrôleur de salle câblé avec kit Cat5e	Contrôleur de salle câblé avec kit Cat5e	Contrôleur de salle câblé avec kit Cat5e	Dispositivo di controllo per sale riunioni con kit Cat5e	Dispositivo di controllo per sale riunioni con kit Cat5e	有線会議室コントローラ（Cat5eキット付属）	Bekabelde controller met Cat5e-kit	Bekabelde controller met Cat5e-kit	Controlador de sala fixo com kit Cat5e	含 Cat5e 套件的有线会议室控制器	Tethered room controller with Cat5e kit	Tethered room controller with Cat5e kit	Tethered room controller with Cat5e kit	Tethered room controller with Cat5e kit	Tethered room controller with Cat5e kit	Tethered room controller with Cat5e kit	Controlador de sala conectado con el kit Cat5e	Controlador de sala conectado con el kit Cat5e	Kabelgebundener Raum-Controller mit Cat5e-Kit	Kabelgebundener Raum-Controller mit Cat5e-Kit	Tethered room controller with Cat5e kit	Tethered room controller with Cat5e kit	Tethered room controller with Cat5e kit	Tethered room controller with Cat5e kit
																												
Logitech Sync	Logitech Sync	Logitech Sync	Logitech Sync	Logitech Sync	Logitech Sync	Logitech Sync	Logitech Sync	Logitech Sync	Logitech Sync	ロジクール Sync	Logitech Sync	Logitech Sync	Logitech Sync	罗技 Sync	Logitech Sync	Logitech Sync	Logitech Sync	Logitech Sync	Logitech Sync	Logitech Sync	Logitech Sync	Logitech Sync	Logitech Sync	Logitech Sync	Logitech Sync	Logitech Sync	Logitech Sync	Logitech Sync
Device and space management	Geräte- und Arbeitsplatzverwaltung	Administración de dispositivos y espacio	Administración de dispositivos y espacios	Gestion des dispositifs et de l’espace	Gestion des dispositifs et de l’espace	Gestion des dispositifs et de l’espace	Gestion des dispositifs et de l’espace	Gestione dei dispositivi e dello spazio	Gestione dei dispositivi e dello spazio	デバイスおよびスペース管理	Apparaat- en ruimtebeheer	Apparaat- en ruimtebeheer	Gerenciamento de dispositivos e espaços	设备和空间管理	Device and space management	Device and space management	Device and space management	Device and space management	Device and space management	Device and space management	Administración de dispositivos y espacios	Administración de dispositivos y espacios	Geräte- und Arbeitsplatzverwaltung	Geräte- und Arbeitsplatzverwaltung	Device and space management	Device and space management	Device and space management	Device and space management
Enable better remote manageability and ultimate control of devices and spaces.	Eine bessere Fernverwaltung und ultimative Kontrolle über Geräte und Arbeitsplätze	Mejore la capacidad de administración remota y el control absoluto de los dispositivos y los espacios.	Permite una mejor administración remota y un control definitivo de los dispositivos y espacios.	Améliorez la gestion à distance et le contrôle ultime des dispositifs et des espaces.	Améliorez la gestion à distance et le contrôle ultime des dispositifs et des espaces.	Améliorez la gestion à distance et le contrôle ultime des dispositifs et des espaces.	Améliorez la gestion à distance et le contrôle ultime des dispositifs et des espaces.	Abilita il miglioramento della gestione remota e il controllo definitivo di spazi e dispositivi.	Abilita il miglioramento della gestione remota e il controllo definitivo di spazi e dispositivi.	デバイスとスペースのリモート管理を強化し、究極のコントロールを実現します。	Zorg voor beter beheer op afstand en ultieme controle over apparaten en ruimtes.	Zorg voor beter beheer op afstand en ultieme controle over apparaten en ruimtes.	Permite uma melhor capacidade de gerenciamento remoto e o máximo controle de dispositivos e espaços.	实现更好的远程可管理性以及对设备和空间的出色控制。	Enable better remote manageability and ultimate control of devices and spaces.	Enable better remote manageability and ultimate control of devices and spaces.	Enable better remote manageability and ultimate control of devices and spaces.	Enable better remote manageability and ultimate control of devices and spaces.	Enable better remote manageability and ultimate control of devices and spaces.	Enable better remote manageability and ultimate control of devices and spaces.	Permite una mejor administración remota y un control definitivo de los dispositivos y espacios.	Permite una mejor administración remota y un control definitivo de los dispositivos y espacios.	Eine bessere Fernverwaltung und ultimative Kontrolle über Geräte und Arbeitsplätze	Eine bessere Fernverwaltung und ultimative Kontrolle über Geräte und Arbeitsplätze	Enable better remote manageability and ultimate control of devices and spaces.	Enable better remote manageability and ultimate control of devices and spaces.	Enable better remote manageability and ultimate control of devices and spaces.	Enable better remote manageability and ultimate control of devices and spaces.
